Gene symbol,RIP LFE,Target bin,Reads bin,Clusters bin,ACUK bin,WGGA bin,RRE Ratio bin,RRE CDS-3UTR bin,Exon Intron Only bin,Exon Intron Ratio bin,Region Exclusive bin,CDS per gene bin,CDS 3UTR Ratio bin,ASD bin,,,,,,,,
DPY19L4,-0.941351479,Target,37-102 Reads,11-24 Clusters,,,,,Exon,,,4-6 CDS,1:3 to 3:4,,,,,,,,,
DPY30,-2.062654821,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DPYD,,,,,,,,,,,,,,,,,,,,,,
DPYS,,,,,,,,,,,,,,,,,,,,,,
DPYSL2,-0.230336246,Target,13-36 Reads,2-4 Clusters,0 ACUK,1 WGGA,,,Exon,,,2-3 CDS,2 to 4:1,,,,,,,,,
DPYSL3,1.107375128,Target,13-36 Reads,2-4 Clusters,,,,,Exon,,CDS,2-3 CDS,,,,,,,,,,
DPYSL4,0.300790188,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DPYSL5,0.92101083,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
DQX1,,,,,,,,,,,,,,,,,,,,,,
DR1,-0.627823303,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,1 to 1.99:1,,,,,,,,,
DRAM1,0.121233591,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DRAM2,-1.352563462,Target,5-12 Reads,1 Cluster,,,,,Exon,,3'UTR,,,,,,,,,,,
DRAP1,-0.710648423,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DRD1,,,,,,,,,,,,,,,,,,,,,,
DRD2,-0.120324949,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DRD3,,,,,,,,,,,,,,,,,,,,,,
DRD4,,,,,,,,,,,,,,,,,,,,,,
DRD5,,,,,,,,,,,,,,,,,,,,,,
DRG1,-0.393802291,Target,37-102 Reads,11-24 Clusters,,,,,,<= 1:1,,2-3 CDS,1 to 1.99:1,,,,,,,,,
DRG2,0.35820722,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DRGX,,,,,,,,,,,,,,,,,,,,,,
DROSHA,,,,,,,,,,,,,,,,,,,,,,
DRP2,0.00351801,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DSC1,,,,,,,,,,,,,,,,,,,,,,
DSC2,0.553546525,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,> 4:1,,,,,,,,,
DSC3,0.385583255,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,2 to 4:1,,,,,,,,,
DSCAM,,,,,,,,,,,,,,,,,,,,,,
DSCAML1,,,,,,,,,,,,,,,,,,,,,,
DSCC1,-0.089414665,Target,5-12 Reads,1 Cluster,,,,,Exon,,CDS,1 CDS,,,,,,,,,,
DSCR10,0.559229742,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DSCR3,-0.604350981,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DSCR4,0.003276729,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DSCR6,,,,,,,,,,,,,,,,,,,,,,
DSCR8,,,,,,,,,,,,,,,,,,,,,,
DSCR9,0.63843425,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DSE,0.888162013,Target,103-301 Reads, > 24 Clusters,,,,,,5-20:1,, > 13 CDS,2 to 4:1,,,,,,,,,
DSEL,,,,,,,,,,,,,,,,,,,,,,
DSG1,,,,,,,,,,,,,,,,,,,,,,
DSG2,-0.060471511,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,2 to 4:1,,,,,,,,,
DSG3,,,,,,,,,,,,,,,,,,,,,,
DSG4,,,,,,,,,,,,,,,,,,,,,,
DSN1,1.59954183,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,2 to 4:1,,,,,,,,,
DSP,0.971997577,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
DSPP,,,,,,,,,,,,,,,,,,,,,,
DST,1.385885885,Target, > 301 Reads, > 24 Clusters,,,,,,5-20:1,, > 13 CDS,> 4:1,,,,,,,,,
DSTN,-1.706325064,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DSTYK,1.619197409,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,1:3 to 3:4,,,,,,,,,
DTD1,-0.477330385,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DTL,-0.029637553,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,1 to 1.99:1,,,,,,,,,
DTNA,0.581205686,Target,13-36 Reads,2-4 Clusters,0 ACUK,0 WGGA,,,Exon,,,2-3 CDS,2 to 4:1,,,,,,,,,
DTNB,0.663419363,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DTNBP1,-0.201379244,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DTWD1,-0.876886667,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DTWD2,-0.381390179,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,3'UTR,,,,,,,,,,,
DTX1,0.402774221,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DTX2,0.173297169,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DTX3,0.0931333,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DTX3L,0.426685445,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-3UTR,Exon,,3'UTR,,,,,,,,,,,
DTX4,0.274451759,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DTYMK,0.124217544,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DULLARD,-0.569181601,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DUOX1,,,,,,,,,,,,,,,,,,,,,,
DUOX2,,,,,,,,,,,,,,,,,,,,,,
DUOXA1,,,,,,,,,,,,,,,,,,,,,,
DUOXA2,-0.029164194,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DUS1L,1.261939099,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,2-3 CDS,1 to 1.99:1,,,,,,,,,
DUS2L,0.937740693,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DUS3L,1.115886833,Target,5-12 Reads,2-4 Clusters,0 ACUK,1 WGGA,,WGGA-CDS,Exon,,CDS,2-3 CDS,,,,,,,,,,
DUS4L,-0.770633018,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
DUSP1,0.332494674,Target,37-102 Reads,5-10 Clusters,1 ACUK,0 WGGA,,,Exon,,,1 CDS,at most 1:3,,,,,,,,,
DUSP10,-0.097133819,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DUSP11,0.040706721,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DUSP12,-0.419701299,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
DUSP13,,,,,,,,,,,,,,,,,,,,,,
DUSP14,-0.437297605,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DUSP15,-0.104992135,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DUSP16,0.365100745,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,2 to 4:1,,,,,,,,,
DUSP18,-0.203184532,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DUSP19,,,,,,,,,,,,,,,,,,,,,,
DUSP2,,,,,,,,,,,,,,,,,,,,,,
DUSP21,,,,,,,,,,,,,,,,,,,,,,
DUSP22,-0.144426642,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DUSP23,,,,,,,,,,,,,,,,,,,,,,
DUSP26,-0.023963739,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DUSP27,,,,,,,,,,,,,,,,,,,,,,
DUSP28,-1.250294172,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DUSP3,-0.213135219,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,,2-3 CDS,at most 1:3,,,,,,,,,
DUSP4,0.953769688,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,1 CDS,at most 1:3,,,,,,,,,
DUSP5,0.149458717,Target,13-36 Reads,2-4 Clusters,,,,,Exon,,,1 CDS,1:3 to 3:4,,,,,,,,,
DUSP5P,,,,,,,,,,,,,,,,,,,,,,
DUSP6,0.019833463,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DUSP7,-0.686920146,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,3'UTR,,,,,,,,,,,
DUSP8,1.349022222,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
DUSP9,-0.007472786,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DUT,-1.059645131,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
DUX1,-0.475000335,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DUX4,-0.106941271,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DUXA,,,,,,,,,,,,,,,,,,,,,,
DUXAP10,1.166911297,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DVL1,0.665503532,Target,13-36 Reads,2-4 Clusters,,,,,Exon,,CDS,2-3 CDS,,,,,,,,,,
DVL2,0.63355103,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DVL3,0.159700023,Target,13-36 Reads,2-4 Clusters,0 ACUK,1 WGGA,,WGGA-CDS,Exon,,CDS,2-3 CDS,,,,,,,,,,
DYDC1,,,,,,,,,,,,,,,,,,,,,,
DYDC2,,,,,,,,,,,,,,,,,,,,,,
DYM,-0.472534567,Target,13-36 Reads,1 Cluster,0 ACUK,1 WGGA,,WGGA-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
DYNC1H1,1.532513798,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
DYNC1I1,0.917983429,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DYNC1I2,1.253827165,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DYNC1LI1,-1.174543096,Target,13-36 Reads,2-4 Clusters,1 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,2-3 CDS,,,,,,,,,,
DYNC1LI2,0.307330939,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,1:3 to 3:4,,,,,,,,,
DYNC2H1,1.148662851,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,CDS, > 13 CDS,,,,,,,,,,
DYNC2LI1,1.329734036,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DYNLL1,-0.891248917,Target,5-12 Reads,1 Cluster,0 ACUK,1 WGGA,,WGGA-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
DYNLL1P1,,,,,,,,,,,,,,,,,,,,,,
DYNLL2,-0.694981945,Target,37-102 Reads,2-4 Clusters,,,,,Exon,,3'UTR,,,,,,,,,,,
DYNLRB1,-1.171812233,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DYNLRB2,,,,,,,,,,,,,,,,,,,,,,
DYNLT1,-0.637226914,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DYNLT3,-2.458733419,Target,5-12 Reads,1 Cluster,,,,,Exon,,3'UTR,,,,,,,,,,,
DYRK1A,0.053019851,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,1 to 1.99:1,,,,,,,,,
DYRK1B,0.008404617,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,> 4:1,,,,,,,,,
DYRK2,-0.208562318,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,,7-13 CDS,at most 1:3,,,,,,,,,
DYRK3,-0.233547513,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,2-3 CDS,1 to 1.99:1,,,,,,,,,
DYRK4,-0.454257562,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DYSF,,,,,,,,,,,,,,,,,,,,,,
DYSFIP1,0.1583838,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DYTN,,,,,,,,,,,,,,,,,,,,,,
DYX1C1,1.066752059,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,1 to 1.99:1,,,,,,,,,
DZIP1,0.685986585,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,,,,,,,,,,
DZIP1L,0.762934758,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
DZIP3,-0.020305321,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
E2F1,0.743030779,Target, > 301 Reads,11-24 Clusters,,,,,Exon,,,4-6 CDS,1:3 to 3:4,,,,,,,,,
E2F2,0.112821474,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,4-6 CDS,1:3 to 3:4,,,,,,,,,
E2F3,-0.030065321,Target,103-301 Reads, > 24 Clusters,,,,,Exon,,,4-6 CDS,at most 1:3,,,,,,,,,
E2F4,0.087402431,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
E2F5,-1.060696305,Target,5-12 Reads,1 Cluster,0 ACUK,1 WGGA,,WGGA-3UTR,Exon,,3'UTR,,,,,,,,,,,
E2F6,0.152646788,Target,13-36 Reads,2-4 Clusters,1 ACUK,0 WGGA,,,Exon,,,1 CDS,1 to 1.99:1,,,,,,,,,
E2F7,-0.238986264,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,1:3 to 3:4,,,,,,,,,
E2F8,0.011729329,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,7-13 CDS,> 4:1,,,,,,,,,
E4F1,1.8221723,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EAF1,-0.381934526,Target, > 301 Reads, > 24 Clusters,,,,,,> 20:1,,4-6 CDS,at most 1:3,,,,,,,,,
EAF2,,,,,,,,,,,,,,,,,,,,,,
EAPP,1.593398103,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
EARS2,0.210677689,Target,13-36 Reads,2-4 Clusters,,,,,Exon,,,1 CDS,1 to 1.99:1,,,,,,,,,
EBAG9,-0.538088401,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EBF1,,,,,,,,,,,,,,,,,,,,,,
EBF2,0.025591325,Target,13-36 Reads,1 Cluster,0 ACUK,0 WGGA,,,Intron,,Intron,,,,,,,,,,,
EBF3,0.203670248,Target,13-36 Reads,2-4 Clusters,,,,,,<= 1:1,,1 CDS,,,,,,,,,,
EBF4,0.190631532,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EBI3,,,,,,,,,,,,,,,,,,,,,,
EBNA1BP2,0.621725334,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EBP,-0.859470099,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EBPL,-1.827586318,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ECD,1.047131064,Target,37-102 Reads,2-4 Clusters,2-3 ACUK,0 WGGA,,,Exon,,CDS,4-6 CDS,,,,,,,,,,
ECE1,0.880470577,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ECE2,-0.675130948,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ECEL1,0.992011697,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ECH1,0.222999411,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ECHDC1,-1.374418114,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,2 to 4:1,,,,,,,,,
ECHDC2,,,,,,,,,,,,,,,,,,,,,,
ECHDC3,,,,,,,,,,,,,,,,,,,,,,
ECHS1,-0.19837181,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ECI1,,,,,,,,,,,,,,,,,,,,,,
ECI2,,,,,,,,,,,,,,,,,,,,,,
ECM1,0.253965468,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ECM2,,,,,,,,,,,,,,,,,,,,,,
ECSIT,-0.313435817,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
ECT2,-0.026558625,Target,37-102 Reads,11-24 Clusters,,,,,,5-20:1,,7-13 CDS,,,,,,,,,,
ECT2L,,,,,,,,,,,,,,,,,,,,,,
EDA,0.268651517,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,3'UTR,,,,,,,,,,,
EDA2R,,,,,,,,,,,,,,,,,,,,,,
EDAR,-0.1223349,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EDARADD,,,,,,,,,,,,,,,,,,,,,,
EDC3,0.543126996,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,1 to 1.99:1,,,,,,,,,
EDC4,1.75447429,Target,103-301 Reads,11-24 Clusters,2-3 ACUK,2-3 WGGA,1:01,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
EDDM3A,,,,,,,,,,,,,,,,,,,,,,
EDDM3B,,,,,,,,,,,,,,,,,,,,,,
EDEM1,0.047751463,Target, > 301 Reads, > 24 Clusters,,,,,,5-20:1,, > 13 CDS,1:3 to 3:4,,,,,,,,,
EDEM2,1.098631593,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EDEM3,-0.267512693,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,1:3 to 3:4,,,,,,,,,
EDF1,-0.251321755,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EDIL3,-0.924686527,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EDN1,,,,,,,,,,,,,,,,,,,,,,
EDN2,,,,,,,,,,,,,,,,,,,,,,
EDN3,,,,,,,,,,,,,,,,,,,,,,
EDNRA,0.423296802,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EDNRB,,,,,,,,,,,,,,,,,,,,,,
EEA1,-0.66297605,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,2 to 4:1,,,,,,,,,
EED,0.073268039,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EEF1A1,0.255625045,Target, > 301 Reads,11-24 Clusters,,,,,Exon,,,1 CDS,at most 1:3,+ASD/+Target,,,,,,,,
EEF1A2,0.479513804,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EEF1B2,-0.198872406,Target,13-36 Reads,2-4 Clusters,0 ACUK,0 WGGA,,,Exon,,5'UTR,,,,,,,,,,,
EEF1D,0.242278744,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
EEF1E1,-1.538486947,Target,37-102 Reads,2-4 Clusters,,,,,,1-5:1,,2-3 CDS,2 to 4:1,,,,,,,,,
EEF1G,0.177455854,Target,37-102 Reads,2-4 Clusters,,,,,Exon,,CDS,4-6 CDS,,,,,,,,,,
EEF2,0.563309578,Target, > 301 Reads, > 24 Clusters,4 or more ACUK,4 or more WGGA,< 1:1,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
EEF2K,0.133126443,Target,5-12 Reads,1 Cluster,,,,,Exon,,3'UTR,,,,,,,,,,,
EEFSEC,0.353842991,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EEPD1,0.982537305,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EFCAB1,,,,,,,,,,,,,,,,,,,,,,
EFCAB10,,,,,,,,,,,,,,,,,,,,,,
EFCAB11,,,,,,,,,,,,,,,,,,,,,,
EFCAB2,,,,,,,,,,,,,,,,,,,,,,
EFCAB4A,0.044020259,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EFCAB4B,0.305687092,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EFCAB5,,,,,,,,,,,,,,,,,,,,,,
EFCAB6,1.01853092,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EFCAB7,0.358467152,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Intron,,Intron,,,,,,,,,,,
EFCAB8,,,,,,,,,,,,,,,,,,,,,,
