Term,PValue,Count,Cluster,Order,NegLogPValue,Direction,Category
GO:0001508~action potential,0.00073783,17,17,265,3.132043704,Up,Other
GO:0030902~hindbrain development,0.000200708,22,17,266,3.697435151,Up,Other
GO:0035640~exploration behavior,0.000635167,8,17,267,3.19711204,Up,Other
GO:0071705~nitrogen compound transport,0.000187805,59,17,268,3.726292796,Up,Other
GO:0010038~response to metal ion,0.000427711,33,17,269,3.368849696,Up,Other
GO:0046777~protein autophosphorylation,5.98E-05,28,17,270,4.223362212,Up,Other
GO:0009261~ribonucleotide catabolic process,0.000304716,9,17,271,3.516104641,Up,Other
GO:0014047~glutamate secretion,0.000784716,8,17,272,3.105287369,Up,Other
GO:0008277~regulation of G-protein coupled receptor protein signaling pathway,1.53E-06,20,17,273,5.815484326,Up,Other
GO:0007528~neuromuscular junction development,0.000986834,10,17,274,3.005755984,Up,Other
GO:0008360~regulation of cell shape,3.89E-05,21,17,275,4.409705754,Up,Other
GO:0021700~developmental maturation,1.71E-05,33,17,276,4.766759206,Up,Other
GO:0030278~regulation of ossification,0.000735477,24,17,277,3.133430834,Up,Other
GO:0045665~negative regulation of neuron differentiation,0.000712927,25,22,278,3.146955192,Up,Regulation of Development
GO:0051961~negative regulation of nervous system development,2.93E-06,38,22,279,5.533824284,Up,Regulation of Development
GO:0050768~negative regulation of neurogenesis,5.86E-05,33,22,280,4.231872052,Up,Regulation of Development
GO:0010721~negative regulation of cell development,0.000209978,36,22,281,3.67782571,Up,Regulation of Development
GO:0051270~regulation of cellular component movement,0.000624037,66,19,282,3.204789865,Up,Regulation of Development
GO:0033002~muscle cell proliferation,0.000327384,23,19,283,3.484942981,Up,Muscle Cell Proliferation
GO:0048659~smooth muscle cell proliferation,0.000229544,19,19,284,3.639133687,Up,Muscle Cell Proliferation
GO:0048660~regulation of smooth muscle cell proliferation,0.000357943,19,19,285,3.44618569,Up,Muscle Cell Proliferation
GO:0007411~axon guidance,1.10E-05,28,19,286,4.958341392,Up,Cell Differentiation and Morphogenesis
GO:0097485~neuron projection guidance,1.20E-05,28,19,287,4.920589591,Up,Cell Differentiation and Morphogenesis
GO:0022028~tangential migration from the subventricular zone to the olfactory bulb,0.000688472,5,19,288,3.162113956,Up,Other
GO:0040011~locomotion,3.53E-07,123,19,289,6.45167006,Up,Other
GO:0006928~movement of cell or subcellular component,1.77E-06,132,19,290,5.752665356,Up,Other
