"","Length","ACUK","WGGA","GAC","GACR","GACARG","QFM","ACUK.freq","WGGA.freq","GAC.freq","GACR.freq","GACARG.freq","QFM.freq"
"Cebpzos",243,1,8,2,1,0,0,4.12,32.92,8.23,4.12,0,0
"Cecr2",4362,23,85,64,31,3,2,5.27,19.49,14.67,7.11,0.69,0.46
"Cecr5",1260,9,22,15,6,0,2,7.14,17.46,11.9,4.76,0,1.59
"Cecr6",1719,10,14,20,9,0,1,5.82,8.14,11.63,5.24,0,0.58
"Cela1",801,8,14,11,6,0,0,9.99,17.48,13.73,7.49,0,0
"Celf1",1542,12,20,21,11,2,2,7.78,12.97,13.62,7.13,1.3,1.3
"Celf2",1581,16,21,24,10,0,1,10.12,13.28,15.18,6.33,0,0.63
"Celf3",1485,3,15,18,8,1,1,2.02,10.1,12.12,5.39,0.67,0.67
"Celf6",1446,5,16,26,13,0,2,3.46,11.07,17.98,8.99,0,1.38
"Celsr1",9105,77,138,181,85,4,4,8.46,15.16,19.88,9.34,0.44,0.44
"Celsr3",9930,98,137,180,70,8,2,9.87,13.8,18.13,7.05,0.81,0.2
"Cemip",4086,46,77,73,31,1,2,11.26,18.84,17.87,7.59,0.24,0.49
"Cenpa",405,1,9,12,5,0,1,2.47,22.22,29.63,12.35,0,2.47
"Cenpc1",2721,23,40,33,15,4,1,8.45,14.7,12.13,5.51,1.47,0.37
"Cenpe",7416,86,168,107,51,6,4,11.6,22.65,14.43,6.88,0.81,0.54
"Cenpf",8994,111,180,132,52,3,4,12.34,20.01,14.68,5.78,0.33,0.44
"Cenph",726,5,15,12,6,1,1,6.89,20.66,16.53,8.26,1.38,1.38
"Cenpj",4035,36,81,63,31,4,4,8.92,20.07,15.61,7.68,0.99,0.99
"Cenpl",1038,18,20,20,4,0,1,17.34,19.27,19.27,3.85,0,0.96
"Cenpm",543,4,8,6,3,2,0,7.37,14.73,11.05,5.52,3.68,0
"Cenpo",897,8,16,13,2,1,1,8.92,17.84,14.49,2.23,1.11,1.11
"Cenpp",861,13,20,11,6,1,0,15.1,23.23,12.78,6.97,1.16,0
"Cenpq",810,9,15,8,3,2,1,11.11,18.52,9.88,3.7,2.47,1.23
"Cenpt",1548,11,33,31,16,2,0,7.11,21.32,20.03,10.34,1.29,0
"Cenpu",1233,9,26,19,9,1,2,7.3,21.09,15.41,7.3,0.81,1.62
"Cenpv",759,9,11,11,4,0,0,11.86,14.49,14.49,5.27,0,0
"Cenpw",261,2,3,2,1,0,1,7.66,11.49,7.66,3.83,0,3.83
"Cep104",2781,22,53,41,21,1,2,7.91,19.06,14.74,7.55,0.36,0.72
"Cep112",3021,25,60,45,25,6,1,8.28,19.86,14.9,8.28,1.99,0.33
"Cep120",2967,33,58,50,19,2,2,11.12,19.55,16.85,6.4,0.67,0.67
"Cep126",3312,35,31,29,12,1,0,10.57,9.36,8.76,3.62,0.3,0
"Cep128",3309,29,84,60,28,4,3,8.76,25.39,18.13,8.46,1.21,0.91
"Cep131",3183,18,84,51,22,5,3,5.66,26.39,16.02,6.91,1.57,0.94
"Cep131.1",3183,18,84,51,22,5,3,5.66,26.39,16.02,6.91,1.57,0.94
"Cep135",3423,37,74,73,31,4,4,10.81,21.62,21.33,9.06,1.17,1.17
"Cep152",5211,46,137,81,42,1,2,8.83,26.29,15.54,8.06,0.19,0.38
"Cep162",4212,35,82,65,38,2,2,8.31,19.47,15.43,9.02,0.47,0.47
"Cep164",6105,39,164,103,38,6,5,6.39,26.86,16.87,6.22,0.98,0.82
"Cep192",7545,83,115,101,51,6,3,11,15.24,13.39,6.76,0.8,0.4
"Cep250",7308,58,227,124,50,12,5,7.94,31.06,16.97,6.84,1.64,0.68
"Cep290",7440,86,145,98,48,3,4,11.56,19.49,13.17,6.45,0.4,0.54
"Cep295",7383,70,92,113,61,11,4,9.48,12.46,15.31,8.26,1.49,0.54
"Cep350",9288,71,169,145,68,8,4,7.64,18.2,15.61,7.32,0.86,0.43
"Cep41",1122,12,13,25,13,1,0,10.7,11.59,22.28,11.59,0.89,0
"Cep44",1161,11,15,17,12,1,0,9.47,12.92,14.64,10.34,0.86,0
"Cep57",1503,11,31,13,5,0,2,7.32,20.63,8.65,3.33,0,1.33
"Cep57l1",1290,11,27,21,12,1,1,8.53,20.93,16.28,9.3,0.78,0.78
"Cep63",2277,15,57,33,17,0,3,6.59,25.03,14.49,7.47,0,1.32
"Cep68",2202,17,38,39,20,4,3,7.72,17.26,17.71,9.08,1.82,1.36
"Cep70",1851,19,36,21,9,0,3,10.26,19.45,11.35,4.86,0,1.62
"Cep72",1941,21,33,38,17,3,1,10.82,17,19.58,8.76,1.55,0.52
"Cep76",1980,18,28,28,8,0,1,9.09,14.14,14.14,4.04,0,0.51
"Cep78",2373,20,43,41,12,1,2,8.43,18.12,17.28,5.06,0.42,0.84
"Cep83",2079,26,39,28,15,0,2,12.51,18.76,13.47,7.22,0,0.96
"Cep85",2286,18,46,42,24,3,2,7.87,20.12,18.37,10.5,1.31,0.87
"Cep85l",2421,31,40,48,26,3,2,12.8,16.52,19.83,10.74,1.24,0.83
"Cep89",2376,16,56,29,17,1,3,6.73,23.57,12.21,7.15,0.42,1.26
"Cep95",2484,26,44,36,14,1,2,10.47,17.71,14.49,5.64,0.4,0.81
"Cep97",2571,28,40,45,23,3,1,10.89,15.56,17.5,8.95,1.17,0.39
"Cept1",1251,17,18,16,9,0,0,13.59,14.39,12.79,7.19,0,0
"Cept1.1",1251,17,18,14,9,0,0,13.59,14.39,11.19,7.19,0,0
"Cercam",1779,19,28,36,17,0,2,10.68,15.74,20.24,9.56,0,1.12
"Cerk",1596,15,23,32,17,0,1,9.4,14.41,20.05,10.65,0,0.63
"Cerkl",1578,18,33,23,10,0,1,11.41,20.91,14.58,6.34,0,0.63
"Cers2",1143,14,18,17,6,1,0,12.25,15.75,14.87,5.25,0.87,0
"Cers4",1182,13,18,16,6,0,0,11,15.23,13.54,5.08,0,0
"Cers5",1245,15,14,17,7,1,1,12.05,11.24,13.65,5.62,0.8,0.8
"Cers6",1179,8,17,16,4,0,1,6.79,14.42,13.57,3.39,0,0.85
"Ces2b",1671,22,39,28,8,2,2,13.17,23.34,16.76,4.79,1.2,1.2
"Ces5a",1728,23,27,30,10,1,0,13.31,15.62,17.36,5.79,0.58,0
"Ces5a.1",1728,23,27,30,10,1,0,13.31,15.62,17.36,5.79,0.58,0
"Cetn2",519,8,10,10,5,0,0,15.41,19.27,19.27,9.63,0,0
"Cetn3",504,4,9,12,9,0,0,7.94,17.86,23.81,17.86,0,0
"Cetn4",507,8,8,8,4,1,0,15.78,15.78,15.78,7.89,1.97,0
"Cfap100",1842,18,49,31,16,2,1,9.77,26.6,16.83,8.69,1.09,0.54
"Cfap161",912,9,24,15,4,0,1,9.87,26.32,16.45,4.39,0,1.1
"Cfap20",582,7,2,10,7,0,0,12.03,3.44,17.18,12.03,0,0
"Cfap206",1869,20,30,31,17,2,2,10.7,16.05,16.59,9.1,1.07,1.07
"Cfap36",1032,9,22,10,5,0,3,8.72,21.32,9.69,4.84,0,2.91
"Cfap44",5532,47,108,81,49,4,2,8.5,19.52,14.64,8.86,0.72,0.36
"Cfap45",1656,7,59,23,12,1,1,4.23,35.63,13.89,7.25,0.6,0.6
"Cfap46",7926,71,180,129,65,13,3,8.96,22.71,16.28,8.2,1.64,0.38
"Cfap52",1863,21,37,30,16,2,2,11.27,19.86,16.1,8.59,1.07,1.07
"Cfap54",9516,96,142,125,63,0,0,10.09,14.92,13.14,6.62,0,0
"Cfap57",3750,19,79,62,37,7,2,5.07,21.07,16.53,9.87,1.87,0.53
"Cfap61",3693,40,56,55,26,3,1,10.83,15.16,14.89,7.04,0.81,0.27
"Cfap69",2829,32,43,28,12,1,3,11.31,15.2,9.9,4.24,0.35,1.06
"Cfap74",4737,36,91,77,31,4,2,7.6,19.21,16.26,6.54,0.84,0.42
"Cfap97",1644,14,26,31,16,3,2,8.52,15.82,18.86,9.73,1.82,1.22
"Cfdp1",888,8,27,13,3,0,0,9.01,30.41,14.64,3.38,0,0
"Cfh",3759,25,85,50,31,3,3,6.65,22.61,13.3,8.25,0.8,0.8
"Cfhr2",999,10,16,14,10,0,0,10.01,16.02,14.01,10.01,0,0
"Cfl2",501,2,8,9,6,0,1,3.99,15.97,17.96,11.98,0,2
"Cflar",1455,8,29,25,14,1,1,5.5,19.93,17.18,9.62,0.69,0.69
"Cfp",1395,10,19,17,6,0,0,7.17,13.62,12.19,4.3,0,0
"Cftr",4431,50,81,54,28,1,0,11.28,18.28,12.19,6.32,0.23,0
"Cgn",3579,37,103,67,32,4,2,10.34,28.78,18.72,8.94,1.12,0.56
"Cgnl1",3894,28,122,69,32,6,3,7.19,31.33,17.72,8.22,1.54,0.77
"Cgref1",978,7,30,19,9,1,2,7.16,30.67,19.43,9.2,1.02,2.04
"Cgrrf1",999,14,13,18,9,3,0,14.01,13.01,18.02,9.01,3,0
"Chac1",672,7,7,14,7,1,0,10.42,10.42,20.83,10.42,1.49,0
"Chac2",537,4,14,7,3,1,0,7.45,26.07,13.04,5.59,1.86,0
"Chadl",2247,15,36,36,15,0,1,6.68,16.02,16.02,6.68,0,0.45
"Chaf1a",2736,22,68,51,29,1,3,8.04,24.85,18.64,10.6,0.37,1.1
"Champ1",2409,21,50,22,12,1,2,8.72,20.76,9.13,4.98,0.42,0.83
"Chat",1938,13,27,33,17,3,2,6.71,13.93,17.03,8.77,1.55,1.03
"Chchd1",357,2,6,6,4,0,1,5.6,16.81,16.81,11.2,0,2.8
"Chchd10",417,1,1,3,0,0,0,2.4,2.4,7.19,0,0,0
"Chchd2",462,3,5,4,2,0,0,6.49,10.82,8.66,4.33,0,0
"Chchd3",684,2,13,10,2,0,1,2.92,19.01,14.62,2.92,0,1.46
"Chchd4",420,4,12,10,4,1,1,9.52,28.57,23.81,9.52,2.38,2.38
"Chchd5",333,4,3,0,0,0,0,12.01,9.01,0,0,0,0
"Chchd6",822,8,15,7,4,0,1,9.73,18.25,8.52,4.87,0,1.22
"Chchd7",258,3,3,4,4,1,0,11.63,11.63,15.5,15.5,3.88,0
"Chd1",5136,33,102,87,43,4,2,6.43,19.86,16.94,8.37,0.78,0.39
"Chd1l",2703,23,63,50,27,6,5,8.51,23.31,18.5,9.99,2.22,1.85
"Chd2",5484,39,116,98,43,9,4,7.11,21.15,17.87,7.84,1.64,0.73
"Chd3os",573,2,9,13,7,1,0,3.49,15.71,22.69,12.22,1.75,0
"Chd4",5769,46,134,101,52,4,3,7.97,23.23,17.51,9.01,0.69,0.52
"Chd5",5859,37,138,131,75,9,4,6.32,23.55,22.36,12.8,1.54,0.68
"Chd6",8136,71,167,130,58,10,4,8.73,20.53,15.98,7.13,1.23,0.49
"Chd7",8961,60,149,149,71,12,3,6.7,16.63,16.63,7.92,1.34,0.33
"Chd8",7749,81,132,132,59,7,4,10.45,17.03,17.03,7.61,0.9,0.52
"Chd9",8658,78,122,135,61,7,3,9.01,14.09,15.59,7.05,0.81,0.35
"Chdh",1791,18,30,34,18,1,2,10.05,16.75,18.98,10.05,0.56,1.12
"Chek1",1431,22,25,18,8,0,0,15.37,17.47,12.58,5.59,0,0
"Chek2",1641,19,35,26,9,1,1,11.58,21.33,15.84,5.48,0.61,0.61
"Cherp",2850,17,41,40,21,2,2,5.96,14.39,14.04,7.37,0.7,0.7
"Chfr",1995,18,40,32,16,2,1,9.02,20.05,16.04,8.02,1,0.5
"Chia1",1422,23,26,21,9,2,0,16.17,18.28,14.77,6.33,1.41,0
"Chic1",684,4,22,9,4,1,1,5.85,32.16,13.16,5.85,1.46,1.46
"Chic2",498,4,13,6,2,0,1,8.03,26.1,12.05,4.02,0,2.01
"Chil1",1170,11,23,18,12,4,3,9.4,19.66,15.38,10.26,3.42,2.56
"Chka",1362,9,15,16,6,0,0,6.61,11.01,11.75,4.41,0,0
"Chkb",1185,5,16,17,10,1,1,4.22,13.5,14.35,8.44,0.84,0.84
"Chl1",3630,35,61,40,21,2,3,9.64,16.8,11.02,5.79,0.55,0.83
"Chm",1989,19,26,20,11,0,0,9.55,13.07,10.06,5.53,0,0
"Chml",1866,15,30,33,16,1,0,8.04,16.08,17.68,8.57,0.54,0
"Chmp2b",642,4,11,10,7,1,0,6.23,17.13,15.58,10.9,1.56,0
"Chmp5",660,5,18,14,7,0,0,7.58,27.27,21.21,10.61,0,0
"Chmp6",603,4,18,7,5,1,2,6.63,29.85,11.61,8.29,1.66,3.32
"Chn1",1380,19,16,27,10,0,0,13.77,11.59,19.57,7.25,0,0
"Chn2",1407,14,18,22,11,0,0,9.95,12.79,15.64,7.82,0,0
"Chodl",879,11,8,8,4,1,1,12.51,9.1,9.1,4.55,1.14,1.14
"Chordc1",996,14,10,14,6,0,0,14.06,10.04,14.06,6.02,0,0
"Chp2",591,4,8,12,6,2,0,6.77,13.54,20.3,10.15,3.38,0
"Chpt1",1221,15,22,15,5,0,0,12.29,18.02,12.29,4.1,0,0
"Chrac1",390,4,8,10,6,0,1,10.26,20.51,25.64,15.38,0,2.56
"Chrd",2847,20,32,39,13,1,2,7.02,11.24,13.7,4.57,0.35,0.7
"Chrdl1",1344,15,23,20,7,3,0,11.16,17.11,14.88,5.21,2.23,0
"Chrdl2",1302,13,21,22,11,1,0,9.98,16.13,16.9,8.45,0.77,0
"Chrm2",1401,15,11,24,8,0,0,10.71,7.85,17.13,5.71,0,0
"Chrm4",1440,10,9,22,11,2,0,6.94,6.25,15.28,7.64,1.39,0
"Chrm5",1599,15,15,35,9,1,0,9.38,9.38,21.89,5.63,0.63,0
"Chrna1",1374,11,21,26,12,0,0,8.01,15.28,18.92,8.73,0,0
"Chrna2",1539,13,27,28,8,1,2,8.45,17.54,18.19,5.2,0.65,1.3
"Chrna4",1926,19,21,41,15,1,1,9.87,10.9,21.29,7.79,0.52,0.52
"Chrna5",1404,11,19,29,17,1,0,7.83,13.53,20.66,12.11,0.71,0
"Chrna7",1509,9,26,16,5,1,1,5.96,17.23,10.6,3.31,0.66,0.66
"Chrnb2",2184,19,25,42,21,1,0,8.7,11.45,19.23,9.62,0.46,0
"Chrnb3",1395,6,17,28,13,1,0,4.3,12.19,20.07,9.32,0.72,0
"Chrnb4",1488,12,18,23,7,0,0,8.06,12.1,15.46,4.7,0,0
"Chst11",1059,9,18,20,10,0,1,8.5,17,18.89,9.44,0,0.94
"Chst12",1260,15,21,30,12,2,1,11.9,16.67,23.81,9.52,1.59,0.79
"Chst14",1131,12,17,20,5,0,0,10.61,15.03,17.68,4.42,0,0
"Chst3",1437,8,26,18,3,1,1,5.57,18.09,12.53,2.09,0.7,0.7
"Chst5",1188,6,11,15,5,0,1,5.05,9.26,12.63,4.21,0,0.84
"Chst7",1455,10,16,28,14,2,0,6.87,11,19.24,9.62,1.37,0
"Chst8",1254,15,15,25,6,2,1,11.96,11.96,19.94,4.78,1.59,0.8
"Chsy1",2403,9,33,35,19,4,2,3.75,13.73,14.57,7.91,1.66,0.83
"Chsy3",2655,19,32,46,24,1,3,7.16,12.05,17.33,9.04,0.38,1.13
"Chtf18",2910,18,49,57,24,3,3,6.19,16.84,19.59,8.25,1.03,1.03
"Chuk",2238,21,36,30,12,1,1,9.38,16.09,13.4,5.36,0.45,0.45
"Churc1",339,5,8,6,1,0,0,14.75,23.6,17.7,2.95,0,0
"Ciapin1",930,7,21,14,9,1,1,7.53,22.58,15.05,9.68,1.08,1.08
"Ciart",1128,11,19,19,9,0,1,9.75,16.84,16.84,7.98,0,0.89
"Cib1",576,4,12,20,11,1,0,6.94,20.83,34.72,19.1,1.74,0
"Cib2",564,8,13,17,8,0,0,14.18,23.05,30.14,14.18,0,0
"Cidea",654,5,12,18,9,0,1,7.65,18.35,27.52,13.76,0,1.53
"Cilp2",3489,19,48,74,38,2,2,5.45,13.76,21.21,10.89,0.57,0.57
"Cir1",1353,9,14,16,6,2,2,6.65,10.35,11.83,4.43,1.48,1.48
"Cirbp",519,0,12,14,9,1,1,0,23.12,26.97,17.34,1.93,1.93
"Cirh1a",2061,19,29,27,13,1,1,9.22,14.07,13.1,6.31,0.49,0.49
"Cisd1",327,2,6,5,3,0,0,6.12,18.35,15.29,9.17,0,0
"Cisd2",408,3,4,5,4,1,0,7.35,9.8,12.25,9.8,2.45,0
"Cisd3",414,4,1,4,3,0,0,9.66,2.42,9.66,7.25,0,0
"Cish",774,7,7,14,7,0,0,9.04,9.04,18.09,9.04,0,0
"Cit",6213,34,143,106,57,9,2,5.47,23.02,17.06,9.17,1.45,0.32
"Cited1",612,7,10,4,1,0,1,11.44,16.34,6.54,1.63,0,1.63
"Cited2",810,5,3,9,5,0,0,6.17,3.7,11.11,6.17,0,0
"Cited4",549,1,4,9,4,0,0,1.82,7.29,16.39,7.29,0,0
"Ciz1",2538,14,35,51,28,5,2,5.52,13.79,20.09,11.03,1.97,0.79
"CK137956",1791,9,27,33,17,3,0,5.03,15.08,18.43,9.49,1.68,0
"Ckap2",1995,18,23,34,14,2,1,9.02,11.53,17.04,7.02,1,0.5
"Ckap4",1728,16,38,31,15,1,2,9.26,21.99,17.94,8.68,0.58,1.16
"Ckmt1",1257,19,31,30,8,2,2,15.12,24.66,23.87,6.36,1.59,1.59
"Cks1b",240,2,4,5,5,0,0,8.33,16.67,20.83,20.83,0,0
"Cks2",240,2,4,4,2,1,1,8.33,16.67,16.67,8.33,4.17,4.17
"Clasrp",2007,7,34,28,13,1,1,3.49,16.94,13.95,6.48,0.5,0.5
"Clca3a1",2709,31,42,47,27,2,0,11.44,15.5,17.35,9.97,0.74,0
"Clcc1",1635,15,35,36,19,1,1,9.17,21.41,22.02,11.62,0.61,0.61
"Clcn1",2985,21,53,36,15,1,1,7.04,17.76,12.06,5.03,0.34,0.34
"Clcn2",2727,15,35,37,14,2,1,5.5,12.83,13.57,5.13,0.73,0.37
"Clcn4",2244,23,41,43,18,2,1,10.25,18.27,19.16,8.02,0.89,0.45
"Clcn5",2451,26,31,37,13,1,0,10.61,12.65,15.1,5.3,0.41,0
"Cldn1",636,5,6,8,2,0,0,7.86,9.43,12.58,3.14,0,0
"Cldn10",696,5,10,7,3,1,0,7.18,14.37,10.06,4.31,1.44,0
"Cldn12",735,7,6,10,2,0,0,9.52,8.16,13.61,2.72,0,0
"Cldn14",720,5,7,12,4,0,0,6.94,9.72,16.67,5.56,0,0
"Cldn2",693,6,9,9,6,0,0,8.66,12.99,12.99,8.66,0,0
"Cldn22",663,9,15,11,2,0,1,13.57,22.62,16.59,3.02,0,1.51
"Cldn34c1",705,4,5,3,1,0,0,5.67,7.09,4.26,1.42,0,0
"Cldnd1",762,6,8,8,3,0,0,7.87,10.5,10.5,3.94,0,0
"Clec10a",927,13,25,18,6,1,2,14.02,26.97,19.42,6.47,1.08,2.16
"Clec11a",987,9,17,16,6,0,1,9.12,17.22,16.21,6.08,0,1.01
"Clec14a",1380,12,20,26,12,3,1,8.7,14.49,18.84,8.7,2.17,0.72
"Clec18a",1605,16,26,23,11,0,2,9.97,16.2,14.33,6.85,0,1.25
"Clec1a",810,9,15,16,11,1,1,11.11,18.52,19.75,13.58,1.23,1.23
"Clec1b",690,10,13,10,4,1,0,14.49,18.84,14.49,5.8,1.45,0
"Clec2d",624,7,13,6,5,0,1,11.22,20.83,9.62,8.01,0,1.6
"Clec4a2",789,12,14,7,5,0,0,15.21,17.74,8.87,6.34,0,0
"Clec5a",573,7,12,8,5,0,0,12.22,20.94,13.96,8.73,0,0
"Clgn",1836,18,47,33,15,1,2,9.8,25.6,17.97,8.17,0.54,1.09
"Clic1",726,8,8,14,9,0,0,11.02,11.02,19.28,12.4,0,0
"Clic4",762,7,18,17,12,2,1,9.19,23.62,22.31,15.75,2.62,1.31
"Clic5",756,3,8,21,14,2,0,3.97,10.58,27.78,18.52,2.65,0
"Clic6",1791,11,41,36,17,1,2,6.14,22.89,20.1,9.49,0.56,1.12
"Clint1",1926,12,19,32,19,4,1,6.23,9.87,16.61,9.87,2.08,0.52
"Clip1",4314,46,98,76,34,4,4,10.66,22.72,17.62,7.88,0.93,0.93
"Clip2",3144,18,75,64,27,6,4,5.73,23.85,20.36,8.59,1.91,1.27
"Clip3",1644,15,25,35,16,2,1,9.12,15.21,21.29,9.73,1.22,0.61
"Clip4",2115,16,33,44,21,1,0,7.57,15.6,20.8,9.93,0.47,0
"Clk1",1452,15,33,18,7,0,0,10.33,22.73,12.4,4.82,0,0
"Clk2",1503,7,16,33,13,2,0,4.66,10.65,21.96,8.65,1.33,0
"Clk3",1917,10,23,26,7,2,1,5.22,12,13.56,3.65,1.04,0.52
"Clk4",1446,10,25,23,10,1,0,6.92,17.29,15.91,6.92,0.69,0
"Clmp",1122,6,19,18,9,1,0,5.35,16.93,16.04,8.02,0.89,0
"Cln3",1317,12,18,17,5,1,1,9.11,13.67,12.91,3.8,0.76,0.76
"Cln5",1026,15,14,24,18,3,0,14.62,13.65,23.39,17.54,2.92,0
"Cln6",927,10,6,14,4,0,0,10.79,6.47,15.1,4.31,0,0
"Cln8",867,10,11,14,4,0,1,11.53,12.69,16.15,4.61,0,1.15
"Clns1a",726,3,16,12,7,1,0,4.13,22.04,16.53,9.64,1.38,0
"Clp1",1278,13,19,12,3,1,0,10.17,14.87,9.39,2.35,0.78,0
"Clpb",2124,22,42,41,23,7,3,10.36,19.77,19.3,10.83,3.3,1.41
"Clpp",819,6,15,16,13,3,0,7.33,18.32,19.54,15.87,3.66,0
"Clpx",1905,13,38,26,14,1,2,6.82,19.95,13.65,7.35,0.52,1.05
"Clspn",3948,40,115,85,55,6,4,10.13,29.13,21.53,13.93,1.52,1.01
"Clstn2",2901,29,57,53,26,3,1,10,19.65,18.27,8.96,1.03,0.34
"Clstn3",2871,23,51,53,20,1,1,8.01,17.76,18.46,6.97,0.35,0.35
"Cltc",5040,49,75,51,22,3,2,9.72,14.88,10.12,4.37,0.6,0.4
"Cluap1",1242,12,28,36,19,0,2,9.66,22.54,28.99,15.3,0,1.61
"Cluh",4062,38,82,66,22,2,3,9.35,20.19,16.25,5.42,0.49,0.74
"Clvs1",1065,12,19,24,14,2,0,11.27,17.84,22.54,13.15,1.88,0
"Clvs2",984,15,24,20,10,1,1,15.24,24.39,20.33,10.16,1.02,1.02
"Clybl",1017,11,12,17,8,0,1,10.82,11.8,16.72,7.87,0,0.98
"Cmah",1734,14,42,43,17,3,1,8.07,24.22,24.8,9.8,1.73,0.58
"Cmbl",738,7,6,12,7,1,2,9.49,8.13,16.26,9.49,1.36,2.71
"Cmc1",321,5,5,4,1,0,0,15.58,15.58,12.46,3.12,0,0
"Cmc2",300,5,6,7,1,0,1,16.67,20,23.33,3.33,0,3.33
"Cmklr1",1116,10,9,14,4,0,0,8.96,8.06,12.54,3.58,0,0
"Cmpk1",684,5,10,11,4,0,0,7.31,14.62,16.08,5.85,0,0
"Cmpk2",1344,17,16,25,8,2,1,12.65,11.9,18.6,5.95,1.49,0.74
"Cmss1",831,6,17,18,8,0,3,7.22,20.46,21.66,9.63,0,3.61
"Cmtm3",555,5,6,12,4,0,0,9.01,10.81,21.62,7.21,0,0
"Cmtm4",627,5,9,9,3,0,0,7.97,14.35,14.35,4.78,0,0
"Cmtm5",471,6,5,6,1,1,1,12.74,10.62,12.74,2.12,2.12,2.12
"Cmtm6",552,9,6,3,1,0,0,16.3,10.87,5.43,1.81,0,0
"Cmtm7",504,2,2,5,0,0,0,3.97,3.97,9.92,0,0,0
"Cmtr1",2514,22,42,42,20,1,1,8.75,16.71,16.71,7.96,0.4,0.4
"Cmtr2",2304,21,31,30,9,0,1,9.11,13.45,13.02,3.91,0,0.43
"Cmya5",11031,75,229,137,75,7,4,6.8,20.76,12.42,6.8,0.63,0.36
"Cnbd2",2022,17,39,33,20,3,1,8.41,19.29,16.32,9.89,1.48,0.49
"Cndp1",1479,14,37,23,14,0,1,9.47,25.02,15.55,9.47,0,0.68
"Cndp2",1428,14,24,29,15,2,0,9.8,16.81,20.31,10.5,1.4,0
"Cnep1r1",378,5,7,4,2,0,0,13.23,18.52,10.58,5.29,0,0
"Cnga4",1728,11,25,30,10,0,1,6.37,14.47,17.36,5.79,0,0.58
"Cnih1",435,2,3,9,2,0,1,4.6,6.9,20.69,4.6,0,2.3
"Cnih4",420,6,2,3,1,0,0,14.29,4.76,7.14,2.38,0,0
"Cnksr2",3099,27,60,47,20,3,2,8.71,19.36,15.17,6.45,0.97,0.65
"Cnksr3",1668,19,32,29,9,0,2,11.39,19.18,17.39,5.4,0,1.2
"Cnn2",918,9,12,22,12,1,2,9.8,13.07,23.97,13.07,1.09,2.18
"Cnn3",993,5,7,26,14,1,0,5.04,7.05,26.18,14.1,1.01,0
"Cnnm2",2628,18,32,47,26,0,1,6.85,12.18,17.88,9.89,0,0.38
"Cnnm3",2142,14,31,33,15,1,2,6.54,14.47,15.41,7,0.47,0.93
"Cnnm4",2316,21,39,43,19,1,3,9.07,16.84,18.57,8.2,0.43,1.3
"Cnot10",2235,14,23,18,10,5,2,6.26,10.29,8.05,4.47,2.24,0.89
"Cnot11",1518,13,19,21,9,0,0,8.56,12.52,13.83,5.93,0,0
"Cnot2",1623,11,30,27,13,1,1,6.78,18.48,16.64,8.01,0.62,0.62
"Cnot3",2256,13,32,36,16,2,0,5.76,14.18,15.96,7.09,0.89,0
"Cnot4",2133,16,21,29,14,0,0,7.5,9.85,13.6,6.56,0,0
"Cnot6",1674,23,24,20,7,0,2,13.74,14.34,11.95,4.18,0,1.19
"Cnot6l",1668,20,27,17,8,0,2,11.99,16.19,10.19,4.8,0,1.2
"Cnot9",900,6,9,14,9,1,0,6.67,10,15.56,10,1.11,0
"Cnppd1",1224,10,19,20,6,0,1,8.17,15.52,16.34,4.9,0,0.82
"Cnpy1",522,8,6,10,2,0,0,15.33,11.49,19.16,3.83,0,0
"Cnpy2",549,5,10,10,3,0,1,9.11,18.21,18.21,5.46,0,1.82
"Cnpy4",738,10,23,15,8,0,1,13.55,31.17,20.33,10.84,0,1.36
"Cnr1",1422,9,18,23,15,1,1,6.33,12.66,16.17,10.55,0.7,0.7
"Cnr2",1044,8,11,14,3,1,0,7.66,10.54,13.41,2.87,0.96,0
"Cnrip1",553,6,8,10,6,0,0,10.85,14.47,18.08,10.85,0,0
"Cntd1",1005,11,13,13,4,0,0,10.95,12.94,12.94,3.98,0,0
"Cntfr",1119,8,13,23,10,0,0,7.15,11.62,20.55,8.94,0,0
"Cntln",4194,32,80,67,45,5,3,7.63,19.07,15.98,10.73,1.19,0.72
"Cntn1",3063,27,45,54,30,3,2,8.81,14.69,17.63,9.79,0.98,0.65
"Cntn2",3123,27,49,51,19,0,1,8.65,15.69,16.33,6.08,0,0.32
"Cntn3",3087,22,62,40,25,2,1,7.13,20.08,12.96,8.1,0.65,0.32
"Cntn4",3081,25,58,42,22,4,1,8.11,18.83,13.63,7.14,1.3,0.32
"Cntn5",3297,22,48,37,25,5,0,6.67,14.56,11.22,7.58,1.52,0
"Cntn6",3087,23,61,25,10,1,0,7.45,19.76,8.1,3.24,0.32,0
"Cntnap1",4158,44,58,71,28,3,2,10.58,13.95,17.08,6.73,0.72,0.48
"Cntnap2",3999,52,78,72,36,6,3,13,19.5,18,9,1.5,0.75
"Cntnap3",3864,44,76,68,33,2,1,11.39,19.67,17.6,8.54,0.52,0.26
"Cntnap4",3933,41,68,54,28,4,1,10.42,17.29,13.73,7.12,1.02,0.25
"Cntnap4.1",3933,41,68,54,28,4,1,10.42,17.29,13.73,7.12,1.02,0.25
"Cntnap5b",3879,63,83,71,30,4,1,16.24,21.4,18.3,7.73,1.03,0.26
"Cntnap5c",3918,60,84,75,34,4,1,15.31,21.44,19.14,8.68,1.02,0.26
"Cntrl",7005,59,165,111,60,7,3,8.42,23.55,15.85,8.57,1,0.43
